Time(s),CH1(V),CH3(V)
-5.0000E-07,-5.554512E-02,-1.835592E-02
-4.9975E-07,-5.554512E-02,-2.753388E-02
-4.9950E-07,-5.554512E-02,-2.753388E-02
-4.9925E-07,-5.554512E-02,-2.753388E-02
-4.9900E-07,-5.554512E-02,-3.671184E-02
-4.9875E-07,-5.554512E-02,-3.671184E-02
-4.9850E-07,-5.554512E-02,-4.588980E-02
-4.9825E-07,-5.554512E-02,-4.588980E-02
-4.9800E-07,-5.554512E-02,-5.506776E-02
-4.9775E-07,-5.554512E-02,-5.506776E-02
-4.9750E-07,-5.554512E-02,-6.424572E-02
-4.9725E-07,-5.554512E-02,-6.424572E-02
-4.9700E-07,-5.554512E-02,-6.424572E-02
-4.9675E-07,-5.554512E-02,-7.342368E-02
-4.9650E-07,-5.554512E-02,-8.260164E-02
-4.9625E-07,-5.554512E-02,-8.260164E-02
-4.9600E-07,-5.554512E-02,-8.260164E-02
-4.9575E-07,-5.554512E-02,-9.177960E-02
-4.9550E-07,-5.554512E-02,-9.177960E-02
-4.9525E-07,-5.554512E-02,-1.009576E-01
-4.9500E-07,-5.554512E-02,-1.009576E-01
-4.9475E-07,-5.554512E-02,-1.009576E-01
-4.9450E-07,-5.554512E-02,-1.101355E-01
-4.9425E-07,-5.554512E-02,-1.101355E-01
-4.9400E-07,-5.554512E-02,-1.101355E-01
-4.9375E-07,-5.554512E-02,-1.193135E-01
-4.9350E-07,-5.091636E-02,-1.193135E-01
-4.9325E-07,-5.091636E-02,-1.193135E-01
-4.9300E-07,-5.554512E-02,-1.284914E-01
-4.9275E-07,-5.554512E-02,-1.376694E-01
-4.9250E-07,-5.554512E-02,-1.376694E-01
-4.9225E-07,-5.554512E-02,-1.376694E-01
-4.9200E-07,-5.554512E-02,-1.468474E-01
-4.9175E-07,-5.554512E-02,-1.468474E-01
-4.9150E-07,-5.091636E-02,-1.468474E-01
-4.9125E-07,-5.091636E-02,-1.560253E-01
-4.9100E-07,-5.554512E-02,-1.560253E-01
-4.9075E-07,-5.554512E-02,-1.652033E-01
-4.9050E-07,-5.091636E-02,-1.652033E-01
-4.9025E-07,-5.091636E-02,-1.652033E-01
-4.9000E-07,-5.091636E-02,-1.743813E-01
-4.8975E-07,-5.091636E-02,-1.743813E-01
-4.8950E-07,-5.091636E-02,-1.835592E-01
-4.8925E-07,-5.091636E-02,-1.835592E-01
-4.8900E-07,-5.091636E-02,-1.835592E-01
-4.8875E-07,-5.091636E-02,-1.927372E-01
-4.8850E-07,-5.091636E-02,-1.927372E-01
-4.8825E-07,-5.091636E-02,-1.927372E-01
-4.8800E-07,-5.091636E-02,-2.019151E-01
-4.8775E-07,-5.091636E-02,-2.019151E-01
-4.8750E-07,-5.091636E-02,-2.110931E-01
-4.8725E-07,-5.091636E-02,-2.110931E-01
-4.8700E-07,-5.091636E-02,-2.202711E-01
-4.8675E-07,-5.091636E-02,-2.202711E-01
-4.8650E-07,-5.091636E-02,-2.202711E-01
-4.8625E-07,-5.091636E-02,-2.202711E-01
-4.8600E-07,-5.091636E-02,-2.294490E-01
-4.8575E-07,-5.091636E-02,-2.294490E-01
-4.8550E-07,-4.628760E-02,-2.386270E-01
-4.8525E-07,-4.628760E-02,-2.386270E-01
-4.8500E-07,-4.628760E-02,-2.478049E-01
-4.8475E-07,-4.628760E-02,-2.478049E-01
-4.8450E-07,-4.628760E-02,-2.478049E-01
-4.8425E-07,-4.628760E-02,-2.569829E-01
-4.8400E-07,-4.628760E-02,-2.569829E-01
-4.8375E-07,-4.628760E-02,-2.569829E-01
-4.8350E-07,-4.628760E-02,-2.661608E-01
-4.8325E-07,-4.628760E-02,-2.661608E-01
-4.8300E-07,-4.628760E-02,-2.753388E-01
-4.8275E-07,-4.628760E-02,-2.753388E-01
-4.8250E-07,-4.628760E-02,-2.753388E-01
-4.8225E-07,-4.628760E-02,-2.753388E-01
-4.8200E-07,-4.628760E-02,-2.845168E-01
-4.8175E-07,-4.628760E-02,-2.845168E-01
-4.8150E-07,-4.628760E-02,-2.845168E-01
-4.8125E-07,-4.628760E-02,-2.936947E-01
-4.8100E-07,-4.628760E-02,-2.936947E-01
-4.8075E-07,-4.628760E-02,-3.028727E-01
-4.8050E-07,-4.628760E-02,-3.028727E-01
-4.8025E-07,-4.628760E-02,-3.028727E-01
-4.8000E-07,-4.628760E-02,-3.120506E-01
-4.7975E-07,-4.628760E-02,-3.120506E-01
-4.7950E-07,-4.628760E-02,-3.120506E-01
-4.7925E-07,-4.628760E-02,-3.212286E-01
