Time(s),CH2(V),CH3(V)
-1.0000E-05,5.731236E-01,6.764400E-03
-9.9998E-06,5.731236E-01,6.764400E-03
-9.9995E-06,5.731236E-01,7.215360E-03
-9.9992E-06,5.731236E-01,7.215360E-03
-9.9990E-06,5.731236E-01,7.666320E-03
-9.9987E-06,5.731236E-01,8.117280E-03
-9.9985E-06,5.731236E-01,8.117280E-03
-9.9982E-06,5.731236E-01,8.568239E-03
-9.9980E-06,5.731236E-01,8.568239E-03
-9.9977E-06,5.731236E-01,8.568239E-03
-9.9975E-06,5.731236E-01,9.019200E-03
-9.9972E-06,5.731236E-01,9.019200E-03
-9.9970E-06,5.731236E-01,9.470159E-03
-9.9967E-06,5.731236E-01,9.470159E-03
-9.9965E-06,5.731236E-01,9.470159E-03
-9.9962E-06,5.731236E-01,9.921120E-03
-9.9960E-06,5.731236E-01,9.921120E-03
-9.9957E-06,5.731236E-01,9.921120E-03
-9.9955E-06,5.731236E-01,1.037208E-02
-9.9952E-06,5.731236E-01,1.037208E-02
-9.9950E-06,5.731236E-01,1.037208E-02
-9.9947E-06,6.686442E-01,1.037208E-02
-9.9945E-06,6.686442E-01,1.037208E-02
-9.9942E-06,6.686442E-01,1.037208E-02
-9.9940E-06,6.686442E-01,1.082304E-02
-9.9937E-06,6.686442E-01,1.082304E-02
-9.9935E-06,6.686442E-01,1.082304E-02
-9.9932E-06,6.686442E-01,1.082304E-02
-9.9930E-06,6.686442E-01,1.082304E-02
-9.9927E-06,6.686442E-01,1.037208E-02
-9.9925E-06,6.686442E-01,1.037208E-02
-9.9922E-06,6.686442E-01,1.037208E-02
-9.9920E-06,6.686442E-01,1.037208E-02
-9.9917E-06,6.686442E-01,1.037208E-02
-9.9915E-06,6.686442E-01,1.037208E-02
-9.9912E-06,6.686442E-01,9.921120E-03
-9.9910E-06,6.686442E-01,9.921120E-03
-9.9907E-06,6.686442E-01,9.921120E-03
-9.9905E-06,6.686442E-01,9.921120E-03
-9.9902E-06,6.686442E-01,9.470159E-03
-9.9900E-06,6.686442E-01,9.470159E-03
-9.9897E-06,6.686442E-01,9.470159E-03
-9.9895E-06,6.686442E-01,9.019200E-03
-9.9892E-06,6.686442E-01,9.019200E-03
-9.9890E-06,6.686442E-01,8.568239E-03
-9.9887E-06,6.686442E-01,8.568239E-03
-9.9885E-06,6.686442E-01,8.117280E-03
-9.9882E-06,6.686442E-01,8.117280E-03
-9.9880E-06,6.686442E-01,7.666320E-03
-9.9877E-06,6.686442E-01,7.666320E-03
-9.9875E-06,6.686442E-01,7.666320E-03
-9.9872E-06,7.641648E-01,7.215360E-03
-9.9870E-06,7.641648E-01,7.215360E-03
-9.9867E-06,7.641648E-01,6.764400E-03
-9.9865E-06,7.641648E-01,6.764400E-03
-9.9862E-06,7.641648E-01,6.764400E-03
-9.9860E-06,7.641648E-01,6.313440E-03
-9.9857E-06,7.641648E-01,6.313440E-03
-9.9855E-06,7.641648E-01,5.862480E-03
-9.9852E-06,7.641648E-01,5.862480E-03
-9.9850E-06,7.641648E-01,5.862480E-03
-9.9847E-06,7.641648E-01,5.411520E-03
-9.9845E-06,7.641648E-01,5.411520E-03
-9.9842E-06,7.641648E-01,4.960560E-03
-9.9840E-06,7.641648E-01,4.960560E-03
-9.9837E-06,7.641648E-01,4.960560E-03
-9.9835E-06,7.641648E-01,4.960560E-03
-9.9832E-06,7.641648E-01,4.960560E-03
-9.9830E-06,7.641648E-01,4.960560E-03
-9.9827E-06,7.641648E-01,4.509600E-03
-9.9825E-06,7.641648E-01,4.509600E-03
-9.9822E-06,7.641648E-01,4.509600E-03
-9.9820E-06,7.641648E-01,4.509600E-03
-9.9817E-06,7.641648E-01,4.509600E-03
-9.9815E-06,7.641648E-01,4.509600E-03
-9.9812E-06,7.641648E-01,4.509600E-03
-9.9810E-06,7.641648E-01,4.509600E-03
-9.9807E-06,7.641648E-01,4.509600E-03
-9.9805E-06,7.641648E-01,4.509600E-03
-9.9802E-06,7.641648E-01,4.509600E-03
-9.9800E-06,7.641648E-01,4.960560E-03
-9.9797E-06,7.641648E-01,4.960560E-03
-9.9795E-06,7.641648E-01,4.960560E-03
-9.9792E-06,7.641648E-01,4.960560E-03
-9.9790E-06,7.641648E-01,5.411520E-03
-9.9787E-06,8.596854E-01,5.411520E-03
-9.9785E-06,8.596854E-01,5.411520E-03
-9.9782E-06,8.596854E-01,5.862480E-03
-9.9780E-06,8.596854E-01,5.862480E-03
-9.9777E-06,8.596854E-01,6.313440E-03
-9.9775E-06,8.596854E-01,6.313440E-03
-9.9772E-06,8.596854E-01,6.764400E-03
-9.9770E-06,8.596854E-01,6.764400E-03
-9.9767E-06,8.596854E-01,7.215360E-03
-9.9765E-06,8.596854E-01,7.215360E-03
-9.9762E-06,8.596854E-01,7.666320E-03
-9.9760E-06,8.596854E-01,7.666320E-03
-9.9757E-06,8.596854E-01,8.117280E-03
-9.9755E-06,8.596854E-01,8.117280E-03
-9.9752E-06,8.596854E-01,8.117280E-03
-9.9750E-06,8.596854E-01,8.568239E-03
-9.9747E-06,8.596854E-01,9.019200E-03
-9.9745E-06,8.596854E-01,9.019200E-03
-9.9742E-06,8.596854E-01,9.470159E-03
-9.9740E-06,8.596854E-01,9.921120E-03
-9.9737E-06,8.596854E-01,9.921120E-03
-9.9735E-06,8.596854E-01,9.921120E-03
-9.9732E-06,8.596854E-01,1.037208E-02
-9.9730E-06,8.596854E-01,1.037208E-02
-9.9727E-06,8.596854E-01,1.082304E-02
-9.9725E-06,8.596854E-01,1.082304E-02
-9.9722E-06,8.596854E-01,1.082304E-02
-9.9720E-06,8.596854E-01,1.127400E-02
-9.9717E-06,8.596854E-01,1.127400E-02
-9.9715E-06,8.596854E-01,1.172496E-02
-9.9712E-06,8.596854E-01,1.172496E-02
-9.9710E-06,8.596854E-01,1.172496E-02
-9.9707E-06,8.596854E-01,1.172496E-02
-9.9705E-06,9.552060E-01,1.217592E-02
-9.9702E-06,9.552060E-01,1.217592E-02
