Time(s),CH1(V),CH3(V)
-5e-06,-0.1009848,-0.1284914
-4.9995e-06,-0.1101653,-0.1284914
-4.999e-06,-0.1101653,-0.1376694
-4.9985e-06,-0.1101653,-0.1376694
-4.998e-06,-0.1193457,-0.1284914
-4.9975e-06,-0.1193457,-0.1284914
-4.997e-06,-0.1193457,-0.1284914
-4.9965e-06,-0.1193457,-0.1376694
-4.996e-06,-0.1193457,-0.1376694
-4.9955e-06,-0.1193457,-0.1376694
-4.995e-06,-0.1285262,-0.1376694
-4.9945e-06,-0.1285262,-0.1376694
-4.994e-06,-0.1285262,-0.1284914
-4.9935e-06,-0.1285262,-0.1284914
-4.993e-06,-0.1285262,-0.1376694
-4.9925e-06,-0.1285262,-0.1376694
-4.992e-06,-0.1285262,-0.1376694
-4.9915e-06,-0.1193457,-0.1376694
-4.991e-06,-0.1193457,-0.1376694
-4.9905e-06,-0.1193457,-0.1376694
-4.99e-06,-0.1193457,-0.1468474
-4.9895e-06,-0.1193457,-0.1468474
-4.989e-06,-0.1101653,-0.1468474
-4.9885e-06,-0.1101653,-0.1468474
-4.988e-06,-0.1101653,-0.1468474
-4.9875e-06,-0.1101653,-0.1468474
-4.987e-06,-0.1101653,-0.1560253
-4.9865e-06,-0.1101653,-0.1560253
-4.986e-06,-0.1101653,-0.1560253
-4.9855e-06,-0.1101653,-0.1560253
-4.985e-06,-0.1101653,-0.1560253
-4.9845e-06,-0.1101653,-0.1652033
-4.984e-06,-0.1101653,-0.1652033
-4.9835e-06,-0.1101653,-0.1652033
-4.983e-06,-0.1101653,-0.1652033
-4.9825e-06,-0.1101653,-0.1743813
-4.982e-06,-0.1101653,-0.1743813
-4.9815e-06,-0.1101653,-0.1743813
-4.981e-06,-0.1193457,-0.1743813
-4.9805e-06,-0.1193457,-0.1743813
-4.98e-06,-0.1193457,-0.1743813
-4.9795e-06,-0.1285262,-0.1743813
-4.979e-06,-0.1285262,-0.1835592
-4.9785e-06,-0.1285262,-0.1835592
-4.978e-06,-0.1377066,-0.1835592
-4.9775e-06,-0.1377066,-0.1835592
-4.977e-06,-0.146887,-0.1835592
-4.9765e-06,-0.146887,-0.1835592
-4.976e-06,-0.146887,-0.1835592
-4.9755e-06,-0.1560675,-0.1835592
-4.975e-06,-0.1560675,-0.1835592
-4.9745e-06,-0.1560675,-0.1835592
-4.974e-06,-0.1560675,-0.1835592
-4.9735e-06,-0.1652479,-0.1835592
-4.973e-06,-0.1652479,-0.1835592
-4.9725e-06,-0.1652479,-0.1835592
-4.972e-06,-0.1744284,-0.1835592
-4.9715e-06,-0.1744284,-0.1835592
-4.971e-06,-0.1744284,-0.1835592
-4.9705e-06,-0.1744284,-0.1835592
-4.97e-06,-0.1744284,-0.1835592
-4.9695e-06,-0.1744284,-0.1835592
-4.969e-06,-0.1744284,-0.1835592
-4.9685e-06,-0.1744284,-0.1835592
-4.968e-06,-0.1744284,-0.1927372
-4.9675e-06,-0.1744284,-0.1927372
-4.967e-06,-0.1744284,-0.1927372
-4.9665e-06,-0.1744284,-0.1927372
-4.966e-06,-0.1652479,-0.1927372
-4.9655e-06,-0.1652479,-0.1927372
-4.965e-06,-0.1652479,-0.1927372
-4.9645e-06,-0.1652479,-0.1927372
-4.964e-06,-0.1652479,-0.2019151
-4.9635e-06,-0.1652479,-0.2019151
-4.963e-06,-0.1652479,-0.2019151
-4.9625e-06,-0.1652479,-0.2019151
-4.962e-06,-0.1652479,-0.2019151
-4.9615e-06,-0.1652479,-0.2019151
-4.961e-06,-0.1560675,-0.2110931
-4.9605e-06,-0.1560675,-0.2110931
-4.96e-06,-0.1560675,-0.2110931
-4.9595e-06,-0.1560675,-0.2110931
-4.959e-06,-0.1560675,-0.2202711
-4.9585e-06,-0.1560675,-0.2202711
-4.958e-06,-0.1652479,-0.2202711
-4.9575e-06,-0.1652479,-0.2202711
-4.957e-06,-0.1652479,-0.2202711
-4.9565e-06,-0.1652479,-0.2202711
-4.956e-06,-0.1744284,-0.229449
-4.9555e-06,-0.1744284,-0.229449
-4.955e-06,-0.1744284,-0.229449
-4.9545e-06,-0.1744284,-0.229449
-4.954e-06,-0.1836088,-0.229449
-4.9535e-06,-0.1836088,-0.229449
-4.953e-06,-0.1836088,-0.229449
-4.9525e-06,-0.1927892,-0.229449
-4.952e-06,-0.1927892,-0.229449
-4.9515e-06,-0.2019697,-0.229449
-4.951e-06,-0.2019697,-0.229449
-4.9505e-06,-0.2019697,-0.229449
-4.95e-06,-0.2111501,-0.229449
-4.9495e-06,-0.2111501,-0.238627
-4.949e-06,-0.2203306,-0.229449
-4.9485e-06,-0.2203306,-0.229449
-4.948e-06,-0.2203306,-0.229449
-4.9475e-06,-0.229511,-0.229449
-4.947e-06,-0.2203306,-0.229449
-4.9465e-06,-0.229511,-0.229449
-4.946e-06,-0.229511,-0.229449
-4.9455e-06,-0.229511,-0.238627
-4.945e-06,-0.229511,-0.229449
-4.9445e-06,-0.229511,-0.238627
-4.944e-06,-0.229511,-0.238627
-4.9435e-06,-0.2203306,-0.238627
-4.943e-06,-0.229511,-0.238627
-4.9425e-06,-0.2203306,-0.238627
-4.942e-06,-0.2203306,-0.238627
-4.9415e-06,-0.2203306,-0.238627
-4.941e-06,-0.2203306,-0.2478049
-4.9405e-06,-0.2203306,-0.2478049
-4.94e-06,-0.2203306,-0.2478049
-4.9395e-06,-0.2203306,-0.2478049
-4.939e-06,-0.2111501,-0.2478049
-4.9385e-06,-0.2111501,-0.2569829
-4.938e-06,-0.2111501,-0.2569829
-4.9375e-06,-0.2111501,-0.2569829
-4.937e-06,-0.2111501,-0.2569829
-4.9365e-06,-0.2111501,-0.2569829
-4.936e-06,-0.2111501,-0.2661608
-4.9355e-06,-0.2019697,-0.2661608
-4.935e-06,-0.2019697,-0.2661608
-4.9345e-06,-0.2111501,-0.2661608
-4.934e-06,-0.2111501,-0.2661608
-4.9335e-06,-0.2111501,-0.2753388
-4.933e-06,-0.2111501,-0.2753388
-4.9325e-06,-0.2111501,-0.2753388
-4.932e-06,-0.2203306,-0.2753388
-4.9315e-06,-0.2203306,-0.2753388
-4.931e-06,-0.2203306,-0.2753388
-4.9305e-06,-0.229511,-0.2753388
-4.93e-06,-0.229511,-0.2753388
-4.9295e-06,-0.229511,-0.2753388
-4.929e-06,-0.229511,-0.2753388
-4.9285e-06,-0.2386914,-0.2845168
-4.928e-06,-0.2386914,-0.2845168
-4.9275e-06,-0.2386914,-0.2845168
-4.927e-06,-0.2478719,-0.2845168
-4.9265e-06,-0.2478719,-0.2845168
-4.926e-06,-0.2570523,-0.2845168
-4.9255e-06,-0.2570523,-0.2845168
-4.925e-06,-0.2570523,-0.2845168
-4.9245e-06,-0.2570523,-0.2845168
-4.924e-06,-0.2662328,-0.2845168
-4.9235e-06,-0.2662328,-0.2845168
-4.923e-06,-0.2662328,-0.2845168
-4.9225e-06,-0.2662328,-0.2753388
-4.922e-06,-0.2754132,-0.2753388
-4.9215e-06,-0.2754132,-0.2845168
-4.921e-06,-0.2662328,-0.2845168
-4.9205e-06,-0.2754132,-0.2845168
-4.92e-06,-0.2662328,-0.2845168
-4.9195e-06,-0.2662328,-0.2845168
-4.919e-06,-0.2754132,-0.2845168
-4.9185e-06,-0.2754132,-0.2845168
-4.918e-06,-0.2754132,-0.2845168
-4.9175e-06,-0.2662328,-0.2845168
-4.917e-06,-0.2662328,-0.2845168
-4.9165e-06,-0.2662328,-0.2845168
-4.916e-06,-0.2662328,-0.2936947
-4.9155e-06,-0.2662328,-0.2936947
-4.915e-06,-0.2570523,-0.2936947
-4.9145e-06,-0.2570523,-0.2936947
-4.914e-06,-0.2570523,-0.2936947
-4.9135e-06,-0.2570523,-0.2936947
-4.913e-06,-0.2570523,-0.3028727
-4.9125e-06,-0.2570523,-0.3028727
-4.912e-06,-0.2570523,-0.3028727
-4.9115e-06,-0.2570523,-0.3120506
-4.911e-06,-0.2570523,-0.3120506
-4.9105e-06,-0.2570523,-0.3120506
-4.91e-06,-0.2478719,-0.3120506
-4.9095e-06,-0.2570523,-0.3120506
-4.909e-06,-0.2570523,-0.3120506
-4.9085e-06,-0.2570523,-0.3120506
-4.908e-06,-0.2570523,-0.3212286
-4.9075e-06,-0.2570523,-0.3212286
-4.907e-06,-0.2570523,-0.3212286
-4.9065e-06,-0.2662328,-0.3212286
-4.906e-06,-0.2662328,-0.3212286
-4.9055e-06,-0.2754132,-0.3212286
-4.905e-06,-0.2754132,-0.3212286
-4.9045e-06,-0.2754132,-0.3212286
-4.904e-06,-0.2845936,-0.3212286
-4.9035e-06,-0.2845936,-0.3212286
-4.903e-06,-0.2845936,-0.3212286
-4.9025e-06,-0.2937741,-0.3212286
-4.902e-06,-0.2937741,-0.3212286
-4.9015e-06,-0.3029545,-0.3304066
-4.901e-06,-0.3029545,-0.3212286
-4.9005e-06,-0.3029545,-0.3212286
-4.9e-06,-0.312135,-0.3212286
-4.8995e-06,-0.312135,-0.3212286
-4.899e-06,-0.312135,-0.3212286
-4.8985e-06,-0.312135,-0.3212286
-4.898e-06,-0.312135,-0.3212286
-4.8975e-06,-0.312135,-0.3212286
-4.897e-06,-0.312135,-0.3212286
-4.8965e-06,-0.3213154,-0.3304066
-4.896e-06,-0.3213154,-0.3212286
-4.8955e-06,-0.312135,-0.3212286
-4.895e-06,-0.312135,-0.3212286
-4.8945e-06,-0.312135,-0.3304066
-4.894e-06,-0.312135,-0.3212286
-4.8935e-06,-0.312135,-0.3304066
-4.893e-06,-0.312135,-0.3304066
-4.8925e-06,-0.312135,-0.3304066
-4.892e-06,-0.312135,-0.3304066
-4.8915e-06,-0.3029545,-0.3304066
-4.891e-06,-0.3029545,-0.3395845
-4.8905e-06,-0.3029545,-0.3395845
-4.89e-06,-0.3029545,-0.3395845
-4.8895e-06,-0.3029545,-0.3395845
-4.889e-06,-0.3029545,-0.3395845
-4.8885e-06,-0.3029545,-0.3395845
-4.888e-06,-0.2937741,-0.3487625
-4.8875e-06,-0.2937741,-0.3487625
-4.887e-06,-0.2937741,-0.3487625
-4.8865e-06,-0.2937741,-0.3579405
-4.886e-06,-0.2937741,-0.3579405
-4.8855e-06,-0.2937741,-0.3579405
-4.885e-06,-0.2937741,-0.3579405
-4.8845e-06,-0.3029545,-0.3579405
-4.884e-06,-0.3029545,-0.3579405
-4.8835e-06,-0.3029545,-0.3579405
-4.883e-06,-0.3029545,-0.3579405
-4.8825e-06,-0.3029545,-0.3579405
-4.882e-06,-0.3029545,-0.3579405
-4.8815e-06,-0.312135,-0.3671184
-4.881e-06,-0.312135,-0.3671184
-4.8805e-06,-0.3213154,-0.3671184
-4.88e-06,-0.3213154,-0.3671184
-4.8795e-06,-0.3213154,-0.3671184
-4.879e-06,-0.3213154,-0.3671184
-4.8785e-06,-0.3304958,-0.3671184
-4.878e-06,-0.3304958,-0.3671184
-4.8775e-06,-0.3396763,-0.3671184
-4.877e-06,-0.3396763,-0.3671184
-4.8765e-06,-0.3396763,-0.3671184
-4.876e-06,-0.3396763,-0.3671184
-4.8755e-06,-0.3488567,-0.3671184
-4.875e-06,-0.3488567,-0.3671184
-4.8745e-06,-0.3488567,-0.3671184
-4.874e-06,-0.3580371,-0.3671184
-4.8735e-06,-0.3580371,-0.3671184
-4.873e-06,-0.3580371,-0.3579405
-4.8725e-06,-0.3580371,-0.3671184
-4.872e-06,-0.3580371,-0.3671184
-4.8715e-06,-0.3580371,-0.3671184
-4.871e-06,-0.3580371,-0.3671184
-4.8705e-06,-0.3580371,-0.3671184
-4.87e-06,-0.3580371,-0.3671184
-4.8695e-06,-0.3580371,-0.3671184
-4.869e-06,-0.3580371,-0.3671184
-4.8685e-06,-0.3488567,-0.3671184
-4.868e-06,-0.3488567,-0.3671184
-4.8675e-06,-0.3488567,-0.3762964
-4.867e-06,-0.3488567,-0.3762964
-4.8665e-06,-0.3488567,-0.3762964
-4.866e-06,-0.3488567,-0.3762964
-4.8655e-06,-0.3396763,-0.3762964
-4.865e-06,-0.3396763,-0.3762964
-4.8645e-06,-0.3396763,-0.3854743
-4.864e-06,-0.3396763,-0.3854743
-4.8635e-06,-0.3396763,-0.3854743
-4.863e-06,-0.3304958,-0.3854743
-4.8625e-06,-0.3304958,-0.3854743
-4.862e-06,-0.3304958,-0.3946523
-4.8615e-06,-0.3304958,-0.3946523
-4.861e-06,-0.3304958,-0.3946523
-4.8605e-06,-0.3396763,-0.3946523
-4.86e-06,-0.3396763,-0.3946523
-4.8595e-06,-0.3396763,-0.3946523
-4.859e-06,-0.3396763,-0.3946523
-4.8585e-06,-0.3396763,-0.3946523
-4.858e-06,-0.3396763,-0.3946523
-4.8575e-06,-0.3488567,-0.4038303
-4.857e-06,-0.3488567,-0.4038303
-4.8565e-06,-0.3488567,-0.4038303
-4.856e-06,-0.3488567,-0.4038303
-4.8555e-06,-0.3580371,-0.4038303
-4.855e-06,-0.3580371,-0.4038303
-4.8545e-06,-0.3580371,-0.4038303
-4.854e-06,-0.3672176,-0.3946523
-4.8535e-06,-0.3672176,-0.4038303
-4.853e-06,-0.376398,-0.4038303
-4.8525e-06,-0.376398,-0.4038303
-4.852e-06,-0.3855785,-0.4038303
-4.8515e-06,-0.3855785,-0.4038303
-4.851e-06,-0.3855785,-0.4038303
-4.8505e-06,-0.3947589,-0.4038303
-4.85e-06,-0.3947589,-0.4038303
-4.8495e-06,-0.3947589,-0.4038303
-4.849e-06,-0.3947589,-0.3946523
-4.8485e-06,-0.3947589,-0.4038303
-4.848e-06,-0.3947589,-0.4038303
-4.8475e-06,-0.3947589,-0.4038303
-4.847e-06,-0.3947589,-0.3946523
-4.8465e-06,-0.3947589,-0.4038303
-4.846e-06,-0.3947589,-0.4038303
-4.8455e-06,-0.3947589,-0.4038303
-4.845e-06,-0.3947589,-0.4038303
-4.8445e-06,-0.3947589,-0.4038303
-4.844e-06,-0.3855785,-0.4038303
-4.8435e-06,-0.3855785,-0.4038303
-4.843e-06,-0.3855785,-0.4038303
-4.8425e-06,-0.3855785,-0.4130082
-4.842e-06,-0.376398,-0.4130082
-4.8415e-06,-0.376398,-0.4038303
-4.841e-06,-0.376398,-0.4130082
-4.8405e-06,-0.376398,-0.4130082
-4.84e-06,-0.376398,-0.4130082
-4.8395e-06,-0.376398,-0.4130082
-4.839e-06,-0.376398,-0.4130082
-4.8385e-06,-0.3672176,-0.4130082
-4.838e-06,-0.3672176,-0.4221862
-4.8375e-06,-0.3672176,-0.4221862
-4.837e-06,-0.3672176,-0.4221862
-4.8365e-06,-0.3672176,-0.4221862
-4.836e-06,-0.3672176,-0.4313641
-4.8355e-06,-0.3672176,-0.4221862
-4.835e-06,-0.376398,-0.4313641
-4.8345e-06,-0.376398,-0.4313641
-4.834e-06,-0.376398,-0.4313641
-4.8335e-06,-0.376398,-0.4313641
-4.833e-06,-0.376398,-0.4313641
-4.8325e-06,-0.3855785,-0.4313641
-4.832e-06,-0.3855785,-0.4313641
-4.8315e-06,-0.3855785,-0.4313641
-4.831e-06,-0.3947589,-0.4313641
-4.8305e-06,-0.3947589,-0.4313641
-4.83e-06,-0.4039393,-0.4313641
-4.8295e-06,-0.4039393,-0.4313641
