Time(s),CH1(V),CH3(V)
-1e-05,0.08262396,0.1009576
-9.9995e-06,0.07344352,0.1009576
-9.999e-06,0.07344352,0.1009576
-9.9985e-06,0.07344352,0.1009576
-9.998e-06,0.07344352,0.1009576
-9.9975e-06,0.07344352,0.1101355
-9.997e-06,0.07344352,0.1101355
-9.9965e-06,0.07344352,0.1101355
-9.996e-06,0.08262396,0.1101355
-9.9955e-06,0.08262396,0.1101355
-9.995e-06,0.08262396,0.1193135
-9.9945e-06,0.08262396,0.1101355
-9.994e-06,0.08262396,0.1101355
-9.9935e-06,0.08262396,0.1193135
-9.993e-06,0.08262396,0.1193135
-9.9925e-06,0.0918044,0.1193135
-9.992e-06,0.0918044,0.1193135
-9.9915e-06,0.0918044,0.1193135
-9.991e-06,0.0918044,0.1193135
-9.9905e-06,0.1009848,0.1193135
-9.99e-06,0.1009848,0.1193135
-9.9895e-06,0.1009848,0.1193135
-9.989e-06,0.1009848,0.1193135
-9.9885e-06,0.1101653,0.1193135
-9.988e-06,0.1101653,0.1193135
-9.9875e-06,0.1101653,0.1193135
-9.987e-06,0.1101653,0.1193135
-9.9865e-06,0.1101653,0.1193135
-9.986e-06,0.1101653,0.1193135
-9.9855e-06,0.1101653,0.1193135
-9.985e-06,0.1101653,0.1193135
-9.9845e-06,0.1193457,0.1193135
-9.984e-06,0.1193457,0.1193135
-9.9835e-06,0.1193457,0.1193135
-9.983e-06,0.1193457,0.1193135
-9.9825e-06,0.1193457,0.1193135
-9.982e-06,0.1193457,0.1193135
-9.9815e-06,0.1193457,0.1193135
-9.981e-06,0.1101653,0.1193135
-9.9805e-06,0.1101653,0.1193135
-9.98e-06,0.1193457,0.1193135
-9.9795e-06,0.1101653,0.1193135
-9.979e-06,0.1101653,0.1193135
-9.9785e-06,0.1101653,0.1284914
-9.978e-06,0.1101653,0.1284914
-9.9775e-06,0.1101653,0.1284914
-9.977e-06,0.1101653,0.1284914
-9.9765e-06,0.1101653,0.1284914
-9.976e-06,0.1101653,0.1284914
-9.9755e-06,0.1101653,0.1284914
-9.975e-06,0.1101653,0.1376694
-9.9745e-06,0.1101653,0.1376694
-9.974e-06,0.1009848,0.1376694
-9.9735e-06,0.1101653,0.1376694
-9.973e-06,0.1009848,0.1376694
-9.9725e-06,0.1009848,0.1376694
-9.972e-06,0.1009848,0.1376694
-9.9715e-06,0.1009848,0.1376694
-9.971e-06,0.1101653,0.1468474
-9.9705e-06,0.1101653,0.1376694
-9.97e-06,0.1101653,0.1376694
-9.9695e-06,0.1101653,0.1376694
-9.969e-06,0.1101653,0.1468474
-9.9685e-06,0.1193457,0.1468474
-9.968e-06,0.1193457,0.1468474
-9.9675e-06,0.1193457,0.1468474
-9.967e-06,0.1193457,0.1468474
