Time(s),CH1(V),CH2(V),CH3(V)
-4.9525E-06,3.240132E-02,3.820824E-01,4.172436E-02
-4.9520E-06,2.777256E-02,3.820824E-01,4.636040E-02
-4.9515E-06,2.777256E-02,4.776030E-01,4.636040E-02
-4.9510E-06,3.240132E-02,3.820824E-01,4.636040E-02
-4.9505E-06,3.240132E-02,2.865618E-01,4.172436E-02
-4.9500E-06,2.777256E-02,3.820824E-01,4.172436E-02
-4.9495E-06,3.240132E-02,4.776030E-01,4.172436E-02
-4.9490E-06,3.240132E-02,4.776030E-01,4.172436E-02
-4.9485E-06,3.240132E-02,3.820824E-01,3.708832E-02
-4.9480E-06,3.240132E-02,4.776030E-01,4.172436E-02
-4.9475E-06,3.240132E-02,4.776030E-01,4.172436E-02
-4.9470E-06,3.240132E-02,4.776030E-01,4.172436E-02
-4.9465E-06,3.703008E-02,4.776030E-01,3.708832E-02
-4.9460E-06,3.703008E-02,4.776030E-01,4.172436E-02
-4.9455E-06,3.703008E-02,4.776030E-01,4.172436E-02
-4.9450E-06,3.703008E-02,4.776030E-01,4.172436E-02
-4.9445E-06,3.703008E-02,4.776030E-01,4.172436E-02
-4.9440E-06,3.240132E-02,4.776030E-01,4.172436E-02
-4.9435E-06,3.703008E-02,4.776030E-01,4.636040E-02
-4.9430E-06,3.703008E-02,4.776030E-01,4.172436E-02
-4.9425E-06,3.703008E-02,4.776030E-01,3.708832E-02
-4.9420E-06,3.240132E-02,4.776030E-01,4.172436E-02
-4.9415E-06,3.240132E-02,4.776030E-01,4.172436E-02
-4.9410E-06,3.703008E-02,5.731236E-01,4.172436E-02
-4.9405E-06,3.703008E-02,5.731236E-01,4.172436E-02
-4.9400E-06,3.240132E-02,5.731236E-01,4.172436E-02
-4.9395E-06,3.240132E-02,5.731236E-01,4.636040E-02
-4.9390E-06,3.240132E-02,5.731236E-01,4.636040E-02
-4.9385E-06,3.240132E-02,5.731236E-01,4.172436E-02
-4.9380E-06,3.240132E-02,5.731236E-01,4.636040E-02
-4.9375E-06,3.703008E-02,5.731236E-01,5.099644E-02
-4.9370E-06,3.703008E-02,6.686442E-01,5.099644E-02
-4.9365E-06,3.703008E-02,5.731236E-01,4.636040E-02
-4.9360E-06,3.703008E-02,4.776030E-01,4.636040E-02
-4.9355E-06,3.703008E-02,5.731236E-01,5.099644E-02
-4.9350E-06,3.703008E-02,5.731236E-01,4.636040E-02
-4.9345E-06,3.240132E-02,5.731236E-01,4.172436E-02
-4.9340E-06,3.703008E-02,6.686442E-01,4.636040E-02
-4.9335E-06,3.703008E-02,6.686442E-01,5.099644E-02
-4.9330E-06,3.703008E-02,5.731236E-01,4.636040E-02
-4.9325E-06,4.165884E-02,5.731236E-01,4.636040E-02
-4.9320E-06,4.165884E-02,5.731236E-01,4.636040E-02
-4.9315E-06,4.165884E-02,5.731236E-01,5.099644E-02
-4.9310E-06,4.165884E-02,5.731236E-01,5.099644E-02
-4.9305E-06,3.703008E-02,5.731236E-01,4.636040E-02
-4.9300E-06,3.703008E-02,6.686442E-01,4.636040E-02
-4.9295E-06,3.240132E-02,6.686442E-01,5.099644E-02
-4.9290E-06,3.703008E-02,6.686442E-01,5.099644E-02
-4.9285E-06,3.703008E-02,6.686442E-01,5.099644E-02
-4.9280E-06,3.703008E-02,6.686442E-01,4.636040E-02
-4.9275E-06,3.703008E-02,6.686442E-01,5.099644E-02
-4.9270E-06,4.165884E-02,5.731236E-01,5.099644E-02
-4.9265E-06,4.628760E-02,6.686442E-01,5.099644E-02
-4.9260E-06,4.628760E-02,6.686442E-01,5.563248E-02
-4.9255E-06,4.165884E-02,6.686442E-01,5.563248E-02
-4.9250E-06,4.165884E-02,6.686442E-01,5.099644E-02
-4.9245E-06,4.628760E-02,6.686442E-01,5.099644E-02
-4.9240E-06,4.165884E-02,6.686442E-01,5.099644E-02
-4.9235E-06,4.165884E-02,6.686442E-01,5.099644E-02
-4.9230E-06,4.628760E-02,7.641648E-01,5.099644E-02
-4.9225E-06,4.628760E-02,7.641648E-01,5.099644E-02
-4.9220E-06,5.091636E-02,6.686442E-01,5.099644E-02
-4.9215E-06,5.091636E-02,6.686442E-01,5.563248E-02
-4.9210E-06,5.091636E-02,8.596854E-01,5.563248E-02
-4.9205E-06,4.628760E-02,8.596854E-01,5.563248E-02
-4.9200E-06,4.628760E-02,8.596854E-01,5.563248E-02
-4.9195E-06,4.628760E-02,7.641648E-01,5.099644E-02
-4.9190E-06,4.628760E-02,7.641648E-01,5.563248E-02
-4.9185E-06,5.091636E-02,7.641648E-01,5.563248E-02
-4.9180E-06,5.091636E-02,7.641648E-01,5.563248E-02
-4.9175E-06,4.628760E-02,7.641648E-01,5.563248E-02
-4.9170E-06,4.628760E-02,7.641648E-01,5.099644E-02
-4.9165E-06,4.628760E-02,8.596854E-01,5.099644E-02
-4.9160E-06,4.628760E-02,7.641648E-01,5.563248E-02
-4.9155E-06,4.628760E-02,7.641648E-01,5.563248E-02
-4.9150E-06,5.091636E-02,7.641648E-01,5.563248E-02
-4.9145E-06,4.628760E-02,7.641648E-01,6.026852E-02
-4.9140E-06,4.165884E-02,8.596854E-01,5.563248E-02
-4.9135E-06,4.628760E-02,8.596854E-01,5.099644E-02
-4.9130E-06,4.628760E-02,7.641648E-01,5.099644E-02
-4.9125E-06,3.703008E-02,7.641648E-01,5.563248E-02
-4.9120E-06,3.703008E-02,7.641648E-01,6.026852E-02
-4.9115E-06,4.165884E-02,8.596854E-01,5.563248E-02
-4.9110E-06,4.165884E-02,8.596854E-01,5.563248E-02
-4.9105E-06,4.165884E-02,7.641648E-01,5.563248E-02
-4.9100E-06,4.628760E-02,7.641648E-01,5.563248E-02
-4.9095E-06,4.628760E-02,8.596854E-01,6.026852E-02
-4.9090E-06,4.165884E-02,9.552060E-01,6.026852E-02
-4.9085E-06,4.628760E-02,9.552060E-01,6.026852E-02
-4.9080E-06,4.165884E-02,8.596854E-01,5.563248E-02
-4.9075E-06,4.165884E-02,8.596854E-01,6.026852E-02
-4.9070E-06,4.165884E-02,8.596854E-01,6.026852E-02
-4.9065E-06,4.165884E-02,8.596854E-01,6.026852E-02
-4.9060E-06,4.165884E-02,7.641648E-01,6.026852E-02
-4.9055E-06,4.628760E-02,8.596854E-01,6.026852E-02
-4.9050E-06,5.091636E-02,9.552060E-01,6.026852E-02
-4.9045E-06,5.091636E-02,9.552060E-01,6.026852E-02
-4.9040E-06,5.091636E-02,8.596854E-01,6.026852E-02
-4.9035E-06,4.628760E-02,8.596854E-01,6.490456E-02
-4.9030E-06,4.628760E-02,8.596854E-01,6.026852E-02
-4.9025E-06,5.091636E-02,8.596854E-01,6.490456E-02
-4.9020E-06,4.628760E-02,9.552060E-01,6.490456E-02
-4.9015E-06,4.628760E-02,9.552060E-01,6.026852E-02
-4.9010E-06,5.091636E-02,9.552060E-01,6.026852E-02
-4.9005E-06,5.091636E-02,9.552060E-01,6.026852E-02
-4.9000E-06,4.628760E-02,9.552060E-01,6.026852E-02
-4.8995E-06,5.091636E-02,9.552060E-01,5.563248E-02
-4.8990E-06,5.554512E-02,9.552060E-01,6.026852E-02
-4.8985E-06,5.091636E-02,9.552060E-01,6.490456E-02
-4.8980E-06,5.091636E-02,9.552060E-01,6.490456E-02
-4.8975E-06,5.091636E-02,9.552060E-01,6.490456E-02
-4.8970E-06,4.628760E-02,1.050727E+00,6.490456E-02
-4.8965E-06,5.091636E-02,1.050727E+00,6.490456E-02
-4.8960E-06,5.091636E-02,1.050727E+00,6.026852E-02
-4.8955E-06,5.554512E-02,9.552060E-01,6.490456E-02
-4.8950E-06,5.554512E-02,1.050727E+00,6.490456E-02
-4.8945E-06,5.554512E-02,1.050727E+00,6.490456E-02
-4.8940E-06,5.554512E-02,1.050727E+00,6.490456E-02
-4.8935E-06,6.017388E-02,1.050727E+00,6.490456E-02
-4.8930E-06,5.554512E-02,1.050727E+00,6.490456E-02
-4.8925E-06,5.554512E-02,1.050727E+00,6.026852E-02
-4.8920E-06,6.017388E-02,1.146247E+00,6.490456E-02
-4.8915E-06,6.017388E-02,1.146247E+00,6.490456E-02
-4.8910E-06,6.017388E-02,1.050727E+00,6.490456E-02
-4.8905E-06,5.554512E-02,1.050727E+00,6.490456E-02
-4.8900E-06,5.554512E-02,1.050727E+00,6.490456E-02
-4.8895E-06,5.554512E-02,1.050727E+00,6.490456E-02
-4.8890E-06,5.554512E-02,1.050727E+00,6.954060E-02
-4.8885E-06,5.554512E-02,1.050727E+00,6.954060E-02
-4.8880E-06,5.554512E-02,1.050727E+00,6.954060E-02
-4.8875E-06,5.554512E-02,1.050727E+00,6.954060E-02
-4.8870E-06,5.554512E-02,1.050727E+00,6.954060E-02
-4.8865E-06,5.554512E-02,1.050727E+00,6.954060E-02
-4.8860E-06,5.554512E-02,1.050727E+00,6.954060E-02
-4.8855E-06,6.017388E-02,1.146247E+00,6.954060E-02
-4.8850E-06,6.017388E-02,1.146247E+00,6.954060E-02
-4.8845E-06,5.554512E-02,1.146247E+00,6.490456E-02
-4.8840E-06,5.554512E-02,1.146247E+00,6.490456E-02
-4.8835E-06,6.017388E-02,1.050727E+00,6.490456E-02
-4.8830E-06,5.554512E-02,1.146247E+00,6.954060E-02
-4.8825E-06,5.554512E-02,1.146247E+00,7.417664E-02
-4.8820E-06,5.554512E-02,1.050727E+00,6.954060E-02
-4.8815E-06,5.554512E-02,1.050727E+00,6.954060E-02
-4.8810E-06,5.554512E-02,1.146247E+00,6.954060E-02
-4.8805E-06,5.554512E-02,1.146247E+00,7.417664E-02
-4.8800E-06,5.554512E-02,1.146247E+00,7.417664E-02
-4.8795E-06,5.554512E-02,1.146247E+00,6.954060E-02
-4.8790E-06,5.554512E-02,1.146247E+00,6.954060E-02
-4.8785E-06,5.554512E-02,1.146247E+00,6.954060E-02
-4.8780E-06,5.554512E-02,1.146247E+00,7.417664E-02
-4.8775E-06,5.554512E-02,1.241768E+00,7.417664E-02
-4.8770E-06,6.017388E-02,1.337288E+00,7.417664E-02
-4.8765E-06,6.017388E-02,1.241768E+00,6.954060E-02
